container_id,container_name,parent_container_id,container_type,sap_org_code,sap_cost_center,org_level,org_path,description,knowledge_category,access_level,default_permission,inherit_parent_permissions,permission_inheritance_type,container_owner,permission_managers,auto_assign_by_org,require_approval_for_access,approval_workflow_enabled,approvers,is_active,document_count,total_knowledge_size,user_count,permission_request_count,created_by,created_date
WJ_ROOT,웅진,,"COMPANY",WJ000,,1,"/WJ_ROOT","웅진 그룹 최상위 지식 컨테이너","전사","PUBLIC","VIEWER",false,"NONE","ADMIN001","{""ADMIN001""}",true,false,false,"{""ADMIN001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_CEO,CEO직속,"WJ_ROOT","DIVISION",CEO000,,2,"/WJ_ROOT/WJ_CEO","CEO 직속 조직","경영","INTERNAL","VIEWER",true,"CASCADING","ADMIN001","{""ADMIN001""}",true,false,false,"{""ADMIN001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_CLOUD,클라우드사업본부,"WJ_ROOT","DIVISION",WJ200,,2,"/WJ_ROOT/WJ_CLOUD","클라우드 사업 관련 지식 관리","기술","RESTRICTED","VIEWER",true,"CASCADING","CLD001","{""CLD001"",""ADMIN001""}",true,true,true,"{""CLD001"",""ADMIN001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_CTI,CTI사업본부,"WJ_ROOT","DIVISION",WJ300,,2,"/WJ_ROOT/WJ_CTI","CTI 사업 관련 지식 관리","컨설팅","RESTRICTED","VIEWER",true,"CASCADING","INF001","{""INF001"",""ADMIN001""}",true,true,true,"{""INF001"",""ADMIN001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_HR,인사전략팀,"WJ_CEO","DEPARTMENT",HR100,,3,"/WJ_ROOT/WJ_CEO/WJ_HR","인사 전략 및 관리","인사","RESTRICTED","VIEWER",true,"SELECTIVE","HR001","{""HR001"",""ADMIN001""}",true,false,false,"{""HR001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_PLANNING,기획팀,"WJ_CEO","DEPARTMENT",PLN100,,3,"/WJ_ROOT/WJ_CEO/WJ_PLANNING","전략 기획 및 경영 기획","기획","RESTRICTED","VIEWER",true,"SELECTIVE","PLN001","{""PLN001"",""ADMIN001""}",true,false,false,"{""PLN001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_CLOUD_SERVICE,클라우드서비스팀,"WJ_CLOUD","DEPARTMENT",CLD100,,3,"/WJ_ROOT/WJ_CLOUD/WJ_CLOUD_SERVICE","클라우드 서비스 개발 및 운영","기술","RESTRICTED","VIEWER",true,"SELECTIVE","CLD001","{""CLD001""}",true,false,false,"{""CLD001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_MS_SERVICE,MS서비스팀,"WJ_CLOUD","DEPARTMENT",MSS100,,3,"/WJ_ROOT/WJ_CLOUD/WJ_MS_SERVICE","Microsoft 솔루션 서비스","기술","RESTRICTED","VIEWER",true,"SELECTIVE","MSS001","{""MSS001""}",true,false,false,"{""MSS001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_INFRA_CONSULT,인프라컨설팅팀,"WJ_CTI","DEPARTMENT",INF100,,3,"/WJ_ROOT/WJ_CTI/WJ_INFRA_CONSULT","인프라 컨설팅 서비스","컨설팅","RESTRICTED","VIEWER",true,"SELECTIVE","INF001","{""INF001""}",true,false,false,"{""INF001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_BIZ_OPS1,Biz운영1팀,"WJ_CTI","DEPARTMENT",BIZ100,,3,"/WJ_ROOT/WJ_CTI/WJ_BIZ_OPS1","비즈니스 운영 1팀","운영","RESTRICTED","VIEWER",true,"SELECTIVE","BIZ001","{""BIZ001""}",true,false,false,"{""BIZ001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_RECRUIT,채용팀,"WJ_HR","TEAM",HR110,,4,"/WJ_ROOT/WJ_CEO/WJ_HR/WJ_RECRUIT","직원 채용 및 선발","인사","RESTRICTED","EDITOR",true,"SELECTIVE","REC001","{""REC001""}",true,false,false,"{""REC001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"
WJ_TRAINING,교육팀,"WJ_HR","TEAM",HR120,,4,"/WJ_ROOT/WJ_CEO/WJ_HR/WJ_TRAINING","직원 교육 및 개발","교육","RESTRICTED","EDITOR",true,"SELECTIVE","TRN001","{""TRN001""}",true,false,false,"{""TRN001""}",true,0,0,0,0,"SYSTEM","2025-09-30 13:00:00"